Gene,SNAP-a
OTOGL,0.000322779
AGL,0.000322745
C8orf37-AS1,0.00032273
PPARGC1A,0.000322352
AMY2B,0.000322182
PCTP,0.000321745
TMEM184B,0.000321617
AC125613.1,0.000321511
TNR,0.000321447
ERI3,0.000321319
MYO5A,0.000321301
PCBD2,0.000321071
FAF1,0.000320903
CACNA2D1,0.000320493
GALNT18,0.00032049
MID1,0.000320142
LINC01102,0.000319992
KAT2B,0.000319918
HERC1,0.000319465
ZNF75D,0.000319393
FAM167A,0.000317754
TMEM135,0.000317606
FOXG1-AS1,0.000316661
TTN-AS1,0.000316516
WDR47,0.000316196
SREBF2,0.000316174
GABRA4,0.000315982
AL591885.1,0.000315542
AL050403.2,0.000315457
LINC00476,0.000315168
AC079917.1,0.000314823
EIF4G3,0.000314426
FAM66C,0.000314391
AK4,0.000313946
TTLL6,0.00031374
PPP1R12A,0.000313638
TRAPPC9,0.000313365
ARMC2,0.000313208
PTGFRN,0.000313059
C8orf46,0.000312814
UG0898H09,0.000311784
SVIL-AS1,0.000311564
PRKRIP1,0.000311557
AF117829.1,0.000310902
DENND2A,0.000310667
SLC20A1,0.00031063
AC073486.1,0.000310525
GALNT1,0.000310458
RLBP1,0.000310336
FAM69C,0.000310227
CSGALNACT1,0.000310171
MVB12B,0.000310101
WFDC1,0.000310023
FOXN3,0.00030951
RABGAP1,0.000309376
LINC01085,0.000308899
KIAA0319,0.000308879
KIF21B,0.000308564
ZNF346,0.000308514
SPOCK1,0.000308462
ZNF280D,0.000308449
AMPH,0.000308257
RNF220,0.000308135
SCFD2,0.000307987
AL160272.1,0.000307669
ADK,0.000307509
LHFPL1,0.000306784
C5orf17,0.000306713
MN1,0.000306676
ABLIM3,0.00030613
NID1,0.000306007
SMIM8,0.000305996
GPR173,0.000305663
STEAP2-AS1,0.000305589
KIF16B,0.000305284
ZBED5-AS1,0.000304866
ARHGAP31,0.000304759
KIAA1328,0.000304484
CCDC190,0.000304257
METTL25,0.000304186
ANTXR1,0.000303799
ERCC6L2,0.000303228
IGDCC3,0.000302405
KIF13A,0.000302135
EIF3E,0.000302097
OTUD7A,0.000301841
PCDH9,0.000301655
LPAR3,0.000301577
DAAM2,0.000301557
EFEMP1,0.000300763
SETD3,0.000300743
IGFN1,0.000299744
ZC3H12C,0.000298635
PPM1L,0.000298614
LDAH,0.000298595
RAB11FIP4,0.000298485
ARMCX4,0.000297886
SLC2A12,0.000297448
PTCHD1-AS,0.000297123
CHD7,0.000297002
ATP10B,0.000296968
LINC02427,0.000296917
ST6GAL2,0.000296692
AMOT,0.000296467
TBC1D10A,0.000296263
NPAS3,0.000295898
AL592183.1,0.000295833
ERVK13-1,0.000295738
SLC27A1,0.000295678
ALMS1,0.000295516
TBC1D5,0.00029543
LINC01994,0.00029526
C14orf37,0.000295247
ATG10,0.000295132
TLK1,0.000294477
LRRC4B,0.000293987
MAP6,0.000293906
LINC00886,0.000293485
FNBP1,0.000293161
FNIP2,0.00029307
BPTF,0.000293026
AL121956.4,0.000292514
FSTL5,0.00029235
LRRN2,0.000292087
ZNF91,0.000291936
SUCLG2-AS1,0.000291605
MEF2C-AS2,0.000290602
HSD17B6,0.000290313
LRBA,0.000290181
RNF180,0.000289924
LRP8,0.000289762
TRIL,0.000289727
PTPRK,0.000289509
ABI1,0.000289362
ALDH1L1-AS2,0.000289147
EML4,0.000288825
KIAA0368,0.000288617
UNC5C,0.000288197
TMTC2,0.000288045
C5orf64,0.000287906
TMEM2,0.000285615
TTPA,0.000285609
SRPK2,0.000285378
EFHC1,0.000285311
ZFHX2-AS1,0.000285236
PARVA,0.000284931
SENP6,0.000284815
GLRB,0.000284741
TIMP3,0.000284483
HLCS,0.000284456
APBA2,0.000284174
AC027117.2,0.000283271
GNG7,0.000283035
SNHG14,0.00028293
NIN,0.000282918
HES5,0.000282307
AC104662.2,0.000282227
PIAS2,0.000281823
BCL2,0.000281717
MAN2A1,0.000281325
PYGM,0.000281323
AC105285.1,0.000280976
EXOC4,0.000280505
TGFB2,0.000280315
ATP9B,0.000280117
MBD5,0.000280011
METTL24,0.000279816
ANO5,0.000279786
DAB1,0.000279548
C9orf85,0.000279487
IQCA1,0.000279156
LINC01158,0.000279134
AL158058.1,0.000278514
LINC02231,0.000278472
DENND5B,0.000277154
EFHC2,0.00027708
AC008050.1,0.000277071
ATG7,0.000275994
TNRC6B,0.000275755
BTBD7,0.000275653
PDLIM5,0.000275418
CSPG5,0.000274857
MROH7-TTC4,0.000274524
AC011747.2,0.000274342
C10orf90,0.000274158
AL137145.1,0.000273809
FRMPD1,0.00027342
NSUN3,0.000273376
ARSB,0.000272815
LYPD1,0.000272637
CMYA5,0.000272512
C12orf60,0.000272501
SHANK2,0.00027231
JMJD1C,0.000271805
ADD1,0.000271754
ASIC1,0.000271629
PPARA,0.00027111
FAM69A,0.000270376
RALGPS1,0.000270337
MOK,0.000269849
MICAL3,0.000269081
KLHDC10,0.00026893
ASAP1,0.000268334
PLCL1,0.000268129
FH,0.000267875
CAPS2,0.000267858
KCNIP3,0.000267655
BBS9,0.000267424
MAN1A2,0.00026735
AL132857.2,0.000267221
MSH3,0.000266919
TTC17,0.000266817
ATXN10,0.00026662
RANBP17,0.000266491
EVI5,0.000266461
C16orf74,0.000266387
STIM2,0.00026617
CYP2J2,0.000266038
LINC02328,0.000264974
SEC24B-AS1,0.000264906
TPK1,0.000264746
AP003354.2,0.000264538
TBC1D22A,0.00026436
AC009135.2,0.000264252
ZSWIM5,0.000264067
BCR,0.00026269
HIP1,0.000262551
VTI1A,0.000262371
GINS3,0.00026186
ITFG1,0.000261754
SNX29,0.000261349
NEDD4L,0.000260885
RPL34-AS1,0.000260676
PHF3,0.000260671
CYP7B1,0.000260498
CHD6,0.000260043
AC093297.2,0.000259736
CCSER2,0.000259651
AC087241.1,0.000259389
LINC00534,0.000259348
MIATNB,0.000259334
PAQR8,0.00025925
RGMA,0.00025903
AL137145.2,0.000258985
GABPB1-AS1,0.000258975
ERCC6,0.000258807
TRERF1,0.000258797
ZNF236,0.000258662
NLK,0.000258656
AC051619.5,0.000258391
GABRB3,0.000258148
PLEKHG1,0.000257996
SSPO,0.000257692
SPATA6,0.000257362
AC092673.1,0.000257225
LINC01004,0.000257065
LARGE1,0.000256845
BIRC6,0.000256248
CCDC149,0.000256006
LINC01950,0.000255882
INVS,0.000255653
ARHGAP5,0.000255623
PCNX1,0.000255453
AC048341.2,0.000255368
TTC7B,0.000255105
CUX1,0.000255101
ADAM22,0.000254941
MTOR,0.000254897
TBL1XR1,0.000254673
VPS13C,0.00025457
SPI1,0.00025447
AC005697.1,0.000254456
PCDH19,0.000253978
MB21D2,0.000253651
PIBF1,0.000253607
NOVA1,0.000253385
SALL3,0.000253176
CCDC88C,0.000251829
TMEM51,0.000251738
AL139260.1,0.000251659
TRAPPC12,0.000251593
AC105383.1,0.000251589
AC025279.1,0.000251562
CUEDC1,0.000251472
PLEKHH1,0.000251395
LIX1-AS1,0.000251352
AC013643.2,0.000250738
CDC42EP4,0.00025067
LTBP1,0.000250378
ZFHX4-AS1,0.000250348
SMARCC1,0.000250313
GAS1RR,0.000250215
ENTPD1-AS1,0.000250138
ANKMY1,0.000250114
MAPK10,0.000249998
AC015908.2,0.000249859
LCORL,0.000249848
RERE,0.000249786
GPSM2,0.000248736
LINC01814,0.000248702
SYCP2L,0.000248351
RRS1-AS1,0.000247686
ZNF717,0.000247634
HHIPL1,0.000247126
FAM204A,0.00024698
TERF2IP,0.000246912
SEPT7,0.000246898
CPT1A,0.000246854
HCG17,0.000246743
MYCBP2,0.000246452
LINC01277,0.000245866
SYT11,0.000245434
CACNG2,0.000245403
LINC00907,0.000245249
AFG1L,0.000244885
GTF2IRD2:GTF2IRD2B,0.000243901
TMEM117,0.000243885
AC007785.1,0.000243855
NDRG2,0.000243739
LANCL1,0.000243476
EPB41L5,0.000243252
RHPN2,0.000243243
PPCDC,0.000243175
AC027808.1,0.000242493
DCUN1D2,0.000242468
CDK8,0.000242459
USP10,0.000241823
LINC02226,0.000241659
STRIP2,0.000241539
TMEM220-AS1,0.00024109
ARFIP1,0.000241084
SNTA1,0.000240778
WNT7B,0.000240716
TMEM161B-AS1,0.000240583
NFYC,0.000240465
ADORA1,0.000240442
RFX7,0.000240242
TAF5L,0.000240165
SLC9A7,0.000239686
NR6A1,0.000239244
EYA2,0.000239185
AL590617.2,0.000239162
RAB9B,0.000239051
C14orf159,0.000238982
FAM222B,0.000238706
RBFOX2,0.000238569
LINC01285,0.000238232
COL5A2,0.000238048
CBR3-AS1,0.000237371
NFATC4,0.000237145
AC007364.1,0.000237085
ZMAT1,0.000236903
CXCL14,0.000236659
LINC00969,0.000236566
SNAP91,0.000236329
CLIP1,0.000235871
MICU3,0.000235546
SLC9A8,0.000235162
TANC2,0.000234518
AC104072.1,0.000234495
AC009120.2,0.000234179
DYNC2H1,0.00023412
TRIM33,0.000233886
CNNM2,0.000233643
CAAP1,0.000233589
CHD1L,0.00023259
RNU4-2,0.000232388
KIF21A,0.000232318
POU3F2,0.000232303
RFWD2,0.000232179
CYFIP2,0.00023198
FASTKD1,0.00023135
CRADD,0.000231023
BCL9,0.0002308
AP000282.1,0.000230659
UBR5,0.000230539
LRRK2,0.0002301
SCGB2B2,0.000230013
AL136984.1,0.000229759
CASKIN1,0.000229706
PI15,0.000229447
AC007566.1,0.000229361
WDR33,0.000229038
ZNF782,0.000229031
CASC4,0.000228934
SUCLA2,0.000228695
HORMAD2-AS1,0.000228408
ADGRG1,0.000227649
LCNL1,0.000227542
ENSA,0.000227414
AC007611.1,0.000227044
PAPPA2,0.000226981
SNX24,0.000226965
TMEM168,0.000226609
RFLNA,0.000226555
GPATCH8,0.000226483
ADAMTS19,0.000226455
A2ML1,0.000226332
GIGYF2,0.000226303
